,source_id,candidate_id,plume_lat,plume_lon,date,source_type,ipcc,qplume,sigma_qplume,time_of_detection,plume_tif,rgb_tif
0,A0001,GAO20210712t153850p0000-A,40.5865875,-104.8233,2021-07-12 00:00:00,landfill,6A Solid Waste Disposal On Land,198.690714,56.0893734,,,
1,A0002,GAO20210720t152559p0000-A,40.574605,-104.68813,2021-07-20 00:00:00,livestock,3A2 Manure Management,659.384534,215.976289,,,
2,A0002,GAO20210712t153850p0000-B,40.574387,-104.68855,2021-07-12 00:00:00,livestock,3A2 Manure Management,458.494606,167.196121,,,
3,A0002,GAO20210718t152410p0000-B,40.573827,-104.68812,2021-07-18 00:00:00,livestock,3A2 Manure Management,242.145473,140.004235,,,
4,A0003,GAO20210712t153850p0000-C,40.572121,-104.68871,2021-07-12 00:00:00,livestock,3A2 Manure Management,425.330806,171.220361,,,
5,A0004,GAO20210712t161629p0000-A,40.5276329,-104.48274,2021-07-12 00:00:00,dairy digestor,3A2 Manure Management,59.4809994,30.9575965,,,
6,A0005,GAO20210712t162900p0000-A,40.518042,-104.62614,2021-07-12 00:00:00,compressor,1B2 Oil & Natural Gas,68.2667162,24.8626138,,,
7,A0005,GAO20210718t161257p0000-A,40.5178886,-104.62614,2021-07-18 00:00:00,compressor,1B2 Oil & Natural Gas,137.458958,110.618401,,,
8,A0006,GAO20210712t164200p0000-A,40.4998759,-104.51376,2021-07-12 00:00:00,livestock,3A2 Manure Management,61.8434042,35.7819385,,,
9,A0007,GAO20210719t163238p0000-1,40.0225305,-104.55318,2021-07-19 00:00:00,pipeline,1B2 Oil & Natural Gas,97.7917007,62.5731549,,,
10,A0007,GAO20210719t164255p0000-B,40.02252,-104.55327,2021-07-19 00:00:00,pipeline,1B2 Oil & Natural Gas,83.7448915,49.8821533,,,
11,A0007,GAO20210722t161650p0000-B,40.022354,-104.55324,2021-07-22 00:00:00,pipeline,1B2 Oil & Natural Gas,111.390733,47.0178653,,,
12,A0007,GAO20210722t162645p0000-B,40.0224492,-104.55313,2021-07-22 00:00:00,pipeline,1B2 Oil & Natural Gas,212.311879,85.627318,,,
13,A0007,GAO20210715t161842p0000-3,40.0226937,-104.55344,2021-07-15 00:00:00,pipeline,1B2 Oil & Natural Gas,193.111875,111.3113,,,
14,A0007,GAO20210717t161437p0000-B,40.022476,-104.55313,2021-07-17 00:00:00,pipeline,1B2 Oil & Natural Gas,259.077145,61.8529892,,,
15,A0007,GAO20210715t160842p0000-3,40.0223681,-104.55313,2021-07-15 00:00:00,pipeline,1B2 Oil & Natural Gas,95.5501214,66.8748372,,,
16,A0007,GAO20210717t160446p0000-A,40.0223671,-104.55286,2021-07-17 00:00:00,pipeline,1B2 Oil & Natural Gas,125.009801,25.16005,,,
17,A0008,GAO20210719t163238p0000-A,40.0220132,-105.00797,2021-07-19 00:00:00,landfill,6A Solid Waste Disposal On Land,86.534036,32.0903487,,,
18,A0008,GAO20210715t161842p0000-A,40.022255,-105.00806,2021-07-15 00:00:00,landfill,6A Solid Waste Disposal On Land,200.063621,75.7919073,,,
19,A0008,GAO20210722t162645p0000-A,40.021997,-105.00802,2021-07-22 00:00:00,landfill,6A Solid Waste Disposal On Land,220.267211,59.3656987,,,
20,A0008,GAO20210722t161650p0000-A,40.0218104,-105.00802,2021-07-22 00:00:00,landfill,6A Solid Waste Disposal On Land,135.507787,42.7176679,,,
21,A0008,GAO20210715t160842p0000-A,40.022268,-105.00778,2021-07-15 00:00:00,landfill,6A Solid Waste Disposal On Land,106.436893,59.8175732,,,
22,A0008,GAO20210717t160446p0000-1,40.0224186,-105.00792,2021-07-17 00:00:00,landfill,6A Solid Waste Disposal On Land,111.438965,78.0778958,,,
23,A0008,GAO20210717t161437p0000-A,40.0220943,-105.00797,2021-07-17 00:00:00,landfill,6A Solid Waste Disposal On Land,71.0001379,51.3494732,,,
24,A0008,GAO20210719t164255p0000-A,40.0220132,-105.00807,2021-07-19 00:00:00,landfill,6A Solid Waste Disposal On Land,85.5167642,34.6492382,,,
25,A0009,GAO20210715t162917p0000-1,40.0560295,-104.9922,2021-07-15 00:00:00,well,1B2 Oil & Natural Gas,364.270316,146.515377,,,
26,A0010,GAO20210715t162917p0000-A,40.0502491,-104.73316,2021-07-15 00:00:00,well,1B2 Oil & Natural Gas,52.561642,28.5843344,,,
27,A0011,GAO20210719t170327p0000-1,40.0650663,-104.74144,2021-07-19 00:00:00,processing,1B2 Oil & Natural Gas,141.304657,107.762585,,,
28,A0011,GAO20210717t163535p0000-2,40.0649446,-104.74144,2021-07-17 00:00:00,processing,1B2 Oil & Natural Gas,470.053166,252.991509,,,
29,A0011,GAO20210715t163915p0000-2,40.0650261,-104.7416,2021-07-15 00:00:00,processing,1B2 Oil & Natural Gas,173.079214,64.9213111,,,
30,A0012,GAO20210715t171258p0000-A,40.118386,-104.63902,2021-07-15 00:00:00,compressor,1B2 Oil & Natural Gas,68.692933,33.3492019,,,
31,A0012,GAO20210719t173638p0000-A,40.1183905,-104.63895,2021-07-19 00:00:00,compressor,1B2 Oil & Natural Gas,37.1422599,25.9106595,,,
32,A0012,GAO20210722t173402p0000-A,40.1183499,-104.63895,2021-07-22 00:00:00,compressor,1B2 Oil & Natural Gas,58.3992546,15.1053129,,,
33,A0012,GAO20210722t172040p0000-A,40.1183908,-104.63905,2021-07-22 00:00:00,compressor,1B2 Oil & Natural Gas,15.3823987,4.24620667,,,
34,A0012,GAO20210717t170748p0000-B,40.1178616,-104.63837,2021-07-17 00:00:00,compressor,1B2 Oil & Natural Gas,50.622689,16.5525425,,,
35,A0012,GAO20210719t175059p0000-A,40.1184312,-104.639,2021-07-19 00:00:00,compressor,1B2 Oil & Natural Gas,42.8668523,31.506327,,,
36,A0013,GAO20210715t174513p0000-1,40.1073001,-104.36138,2021-07-15 00:00:00,livestock,3A2 Manure Management,144.37875,121.954729,,,
37,A0014,GAO20210715t175004p0000-A,40.1584574,-104.51916,2021-07-15 00:00:00,well,1B2 Oil & Natural Gas,56.584304,30.5790677,,,
38,A0015,GAO20210722t181931p0000-A,40.1991774,-104.49418,2021-07-22 00:00:00,well,1B2 Oil & Natural Gas,273.81948,71.3558602,,,
39,A0015,GAO20210717t181624p0000-3,40.1981662,-104.49472,2021-07-17 00:00:00,well,1B2 Oil & Natural Gas,419.683839,201.845533,,,
40,A0015,GAO20210717t180549p0000-1,40.1982871,-104.49456,2021-07-17 00:00:00,well,1B2 Oil & Natural Gas,736.332127,340.325197,,,
41,A0015,GAO20210715t180926p0000-1,40.1990991,-104.49482,2021-07-15 00:00:00,well,1B2 Oil & Natural Gas,275.619472,153.020178,,,
42,A0015,GAO20210719t183655p0000-1,40.1991797,-104.49471,2021-07-19 00:00:00,well,1B2 Oil & Natural Gas,99.2379972,34.4929459,,,
43,A0015,GAO20210715t181940p0000-2,40.1990977,-104.4945,2021-07-15 00:00:00,well,1B2 Oil & Natural Gas,317.208578,219.624825,,,
44,A0016,GAO20210715t181940p0000-A,40.197213,-104.67322,2021-07-15 00:00:00,livestock,3A2 Manure Management,286.314629,105.452673,,,
45,A0016,GAO20210715t180926p0000-A,40.198365,-104.67308,2021-07-15 00:00:00,livestock,3A2 Manure Management,194.89666,54.6570432,,,
46,A0017,GAO20210715t181940p0000-1,40.2146041,-104.81232,2021-07-15 00:00:00,livestock,3A2 Manure Management,43.0704585,23.7644391,,,
47,A0018,GAO20210715t185217p0000-3,40.2592818,-104.91587,2021-07-15 00:00:00,livestock,3A2 Manure Management,41.2358939,5.53123669,,,
48,A0019,GAO20210715t185217p0000-4,40.2564416,-104.66711,2021-07-15 00:00:00,tank,1B2 Oil & Natural Gas,142.301527,52.0179759,,,
49,A0020,GAO20210715t191357p0000-A,40.297281,-104.62234,2021-07-15 00:00:00,well,1B2 Oil & Natural Gas,145.379161,51.0211254,,,
50,A0021,GAO20210715t193609p0000-1,40.3283603,-104.8092,2021-07-15 00:00:00,tank,1B2 Oil & Natural Gas,165.842621,74.8733115,,,
51,A0022,GAO20210716t170121p0000-A,40.47319,-104.81757,2021-07-16 00:00:00,livestock,3A2 Manure Management,64.9848403,38.1371075,,,
52,A0023,GAO20210716t171305p0000-A,40.443277,-104.3554,2021-07-16 00:00:00,well,1B2 Oil & Natural Gas,11.1023447,6.14467219,,,
53,A0024,GAO20210723t162601p0000-2,40.4360985,-104.58473,2021-07-23 00:00:00,livestock,3A2 Manure Management,1296.1333,488.539539,,,
54,A0024,GAO20210716t172622p0000-1,40.4365098,-104.58637,2021-07-16 00:00:00,livestock,3A2 Manure Management,1043.52377,493.764029,,,
55,A0024,GAO20210718t171329p0000-1,40.4354531,-104.58563,2021-07-18 00:00:00,livestock,3A2 Manure Management,991.49655,471.108419,,,
56,A0024,GAO20210720t171922p0000-3,40.4361053,-104.58664,2021-07-20 00:00:00,livestock,3A2 Manure Management,1176.47182,619.963257,,,
57,A0024,GAO20210720t170704p0000-7,40.4364283,-104.58626,2021-07-20 00:00:00,livestock,3A2 Manure Management,1083.80188,555.141087,,,
58,A0025,GAO20210716t172622p0000-3,40.433918,-104.802,2021-07-16 00:00:00,well,1B2 Oil & Natural Gas,87.75291,45.9511382,,,
59,A0026,GAO20210717t164616p0000-1,40.0766664,-104.99737,2021-07-17 00:00:00,well,1B2 Oil & Natural Gas,307.542564,126.022871,,,
60,A0027,GAO20210717t165653p0000-A,40.085438,-104.88899,2021-07-17 00:00:00,well,1B2 Oil & Natural Gas,136.455376,58.236369,,,
61,A0028,GAO20210717t170748p0000-A,40.1075947,-104.89572,2021-07-17 00:00:00,livestock,3A2 Manure Management,49.1962169,17.6329359,,,
62,A0029,GAO20210717t171847p0000-A,40.1278666,-104.58714,2021-07-17 00:00:00,processing,1B2 Oil & Natural Gas,146.753897,84.9116853,,,
63,A0030,GAO20210717t173002p0000-A,40.1417583,-104.75272,2021-07-17 00:00:00,processing,1B2 Oil & Natural Gas,48.4059519,23.221815,,,
64,A0031,GAO20210717t175437p0000-A,40.181029,-104.50408,2021-07-17 00:00:00,compost,6A Solid Waste Disposal On Land,279.154571,129.302917,,,
65,A0032,GAO20210717t180549p0000-A,40.197566,-104.67511,2021-07-17 00:00:00,livestock,3A2 Manure Management,28.3648138,12.2334727,,,
66,A0033,GAO20210718t152410p0000-A,40.584812,-104.82296,2021-07-18 00:00:00,landfill,6A Solid Waste Disposal On Land,169.810363,76.456551,,,
67,A0034,GAO20210718t164932p0000-1,40.4668125,-104.87038,2021-07-18 00:00:00,well,1B2 Oil & Natural Gas,517.192423,256.355955,,,
68,A0035,GAO20210718t172611p0000-A,40.4247094,-104.88855,2021-07-18 00:00:00,tank,1B2 Oil & Natural Gas,358.349736,106.379271,,,
69,A0036,GAO20210718t173854p0000-A,40.3977042,-104.60739,2021-07-18 00:00:00,livestock,3A2 Manure Management,18.8004331,11.6920613,,,
70,A0037,GAO20210718t175147p0000-1,40.3888958,-104.59249,2021-07-18 00:00:00,tank,1B2 Oil & Natural Gas,583.454009,289.423338,,,
71,A0038,GAO20210720t180742p0000-2,40.3695457,-104.9955,2021-07-20 00:00:00,livestock,3A2 Manure Management,432.094616,194.816096,,,
72,A0038,GAO20210718t180416p0000-2,40.3705998,-104.99539,2021-07-18 00:00:00,livestock,3A2 Manure Management,1156.0684,315.139923,,,
73,A0039,GAO20210718t192302p0000-A,40.1079688,-104.36502,2021-07-18 00:00:00,livestock,3A2 Manure Management,152.180765,36.24916,,,
74,A0040,GAO20210718t193403p0000-A,39.6637934,-104.69195,2021-07-18 00:00:00,landfill,6A Solid Waste Disposal On Land,32.2648434,9.28303363,,,
75,A0041,GAO20210722t153405p0000-A,39.6614823,-104.69196,2021-07-22 00:00:00,landfill,6A Solid Waste Disposal On Land,133.695324,28.1234139,,,
76,A0041,GAO20210718t193403p0000-B,39.6624568,-104.69248,2021-07-18 00:00:00,landfill,6A Solid Waste Disposal On Land,70.9850618,19.6242562,,,
77,A0042,GAO20210719t154431p0000-A,39.852353,-104.75564,2021-07-19 00:00:00,landfill,6A Solid Waste Disposal On Land,174.025259,78.8147894,,,
78,A0043,GAO20210719t154431p0000-B,39.8545,-104.75609,2021-07-19 00:00:00,landfill,6A Solid Waste Disposal On Land,63.2318748,29.510652,,,
79,A0044,GAO20210719t154818p0000-A,39.662612,-104.6895,2021-07-19 00:00:00,landfill,6A Solid Waste Disposal On Land,121.4032,67.3558892,,,
80,A0045,GAO20210719t154818p0000-B,39.662373,-104.6856,2021-07-19 00:00:00,landfill,6A Solid Waste Disposal On Land,131.314169,72.8656452,,,
