,source_id,source_lat,source_lon,number_overflights,source_persistence,qsource,sigma_qsource,source_type,confidence_in_persistence
0,G0001,35.2491601,-119.57875,7,0.14285714,96.8534776,33.0820415,tank,high
1,G0002,35.0822509,-119.30443,7,0.14285714,5.36417568,1.44158902,compressor,low
2,G0003,35.3679993,-119.68495,7,0.85714286,187.200884,79.7489884,pipeline,high
3,G0004,35.3433651,-119.64244,7,0.28571429,44.8892849,24.7398633,pipeline,high
4,G0005,35.3593422,-119.661,7,1.0,880.375832,244.909184,pipeline,high
5,G0006,35.3038102,-119.52632,7,0.28571429,94.7661352,26.9024876,well,high
6,G0007,35.285387,-119.50915,7,0.14285714,32.4207687,5.25498949,pipeline,high
7,G0008,35.2856947,-119.39191,6,0.16666667,33.4950001,10.0810617,tank,high
8,G0009,35.531844,-119.77873,5,0.4,41.5567725,16.5541393,well,high
9,G0011,35.5160014,-119.03871,5,1.0,204.11249,78.7725944,processing,low
10,G0012,35.554491,-119.09668,4,0.25,59.9127391,39.904101,tank,high
11,G0013,35.5211995,-119.08435,5,0.2,20.6875544,12.5724195,tank,high
12,G0014,35.5007387,-119.07108,5,0.8,128.433407,77.2581695,well,high
13,G0015,35.502107,-119.08407,5,0.2,23.010397,15.1255964,well,high
14,G0016,35.577675,-119.00628,4,0.25,26.0279372,11.4475624,powerplant,high
15,G0017,35.273558,-119.34621,6,0.16666667,28.6810421,21.1996739,pipeline,medium
16,G0018,35.2745336,-119.4369,7,0.14285714,78.7444753,33.4889406,pipeline,high
17,G0019,35.2926567,-119.45139,7,0.14285714,5.81408004,2.61014883,tank,high
18,G0020,35.313005,-119.56736,7,0.14285714,19.365714,6.97971228,pipeline,high
19,G0021,35.2928646,-119.54085,7,0.42857143,88.5126713,32.0105099,compressor,high
20,G0022,35.3172213,-119.61476,7,0.14285714,133.023298,45.5189548,well,high
21,G0023,35.2780569,-119.60067,7,0.71428571,274.922643,106.167831,well,high
22,G0024,35.3023076,-119.68993,2,0.5,139.0735,38.88839,pipeline,medium
